"281470698551040","281470698551807","JP","Japan","Shimane","Matsue","35.467000","133.050000","690-0015","+09:00"
"281470698551808","281470698552063","JP","Japan","Hiroshima","Hiroshima","34.385868","132.455433","732-0057","+09:00"
"281470698552064","281470698552319","JP","Japan","Yamaguchi","Yamaguchi","34.183000","131.467000","754-0893","+09:00"
"281470698552320","281470698552575","JP","Japan","Yamaguchi","Shimonoseki","33.950000","130.933000","751-0846","+09:00"
"281470698552576","281470698552831","JP","Japan","Yamaguchi","Yamaguchi","34.183000","131.467000","754-0893","+09:00"
"281470698552832","281470698553087","JP","Japan","Tottori","Tottori","35.500111","134.232839","680-0805","+09:00"
"281470698553088","281470698553343","JP","Japan","Yamaguchi","Yamaguchi","34.183000","131.467000","754-0893","+09:00"
"281470698553344","281470698553599","TH","Thailand","Chiang Rai","Pa Daet","19.504800","99.992430","57190","+07:00"
"281470698553600","281470698553855","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.749976","100.516819","10200","+07:00"
"281470698553856","281470698554111","TH","Thailand","Phetchaburi","Phetchaburi","13.111890","99.944670","76150","+07:00"
"281470698554112","281470698554367","TH","Thailand","Songkhla","Songkhla","7.198820","100.595100","90190","+07:00"
"281470698554368","281470698554623","TH","Thailand","Suphan Buri","Don Chedi","14.634970","100.020970","72170","+07:00"
"281470698554624","281470698554879","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.749976","100.516819","10200","+07:00"
"281470698554880","281470698555135","TH","Thailand","Ratchaburi","Ratchaburi","13.536710","99.817120","70000","+07:00"
"281470698555136","281470698555391","TH","Thailand","Chiang Rai","Wiang Chai","19.883610","99.933140","57290","+07:00"
"281470698555392","281470698555647","TH","Thailand","Samut Sakhon","Samut Sakhon","13.547530","100.273620","74000","+07:00"
"281470698555648","281470698555903","TH","Thailand","Trang","Ratsada","7.974670","99.633530","92160","+07:00"
"281470698555904","281470698556159","TH","Thailand","Nakhon Sawan","Takhli","15.263360","100.343780","60140","+07:00"
"281470698556160","281470698556671","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.749976","100.516819","10200","+07:00"
"281470698556672","281470698556927","TH","Thailand","Chon Buri","Pattaya","12.933006","100.884083","76130","+07:00"
"281470698556928","281470698557183","TH","Thailand","Phetchaburi","Phetchaburi","13.111890","99.944670","76150","+07:00"
"281470698557184","281470698557439","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.749976","100.516819","10200","+07:00"
"281470698557440","281470698557695","TH","Thailand","Surat Thani","Koh Tao","10.098080","99.838090","84280","+07:00"
"281470698557696","281470698557951","TH","Thailand","Phatthalung","Phatthalung","7.617860","100.077920","93170","+07:00"
"281470698557952","281470698558463","TH","Thailand","Surat Thani","Ko Samui","9.535670","99.935670","84140","+07:00"
"281470698558464","281470698558719","TH","Thailand","Nakhon Si Thammarat","Thung Song","8.164530","99.680390","80110","+07:00"
"281470698558720","281470698558975","TH","Thailand","Phangnga","Takua Pa","8.870500","98.343830","82110","+07:00"
"281470698558976","281470698559231","TH","Thailand","Surat Thani","Ko Samui","9.535670","99.935670","84140","+07:00"
"281470698559232","281470698559743","TH","Thailand","Surat Thani","Koh Tao","10.098080","99.838090","84280","+07:00"
"281470698559744","281470698560255","TH","Thailand","Phatthalung","Phatthalung","7.617860","100.077920","93170","+07:00"
"281470698560256","281470698560511","TH","Thailand","Surat Thani","Ko Pha Ngan","9.719450","99.995110","84280","+07:00"
"281470698560512","281470698560767","TH","Thailand","Chumphon","Tha Sae","10.664610","99.172810","86140","+07:00"
"281470698560768","281470698561023","TH","Thailand","Krabi","Ban Ao Nang","8.045800","98.810350","81180","+07:00"
"281470698561024","281470698561279","TH","Thailand","Trang","Palian","7.172280","99.686330","92120","+07:00"
"281470698561280","281470698561535","TH","Thailand","Krabi","Ban Ao Nang","8.045800","98.810350","81180","+07:00"
"281470698561536","281470698561791","TH","Thailand","Surat Thani","Chaiya","9.386240","99.198610","84110","+07:00"
